News#,Title Content,Match,Score,Polarity
1,"JOHANNESBURG GOLD SHARES CLOSE MIXED TO FIRMER","gold, firmer,",2,POSITIVE
2,"FEEDER CATTLE FUTURES SET NEW HIGHS TURN MIXED","",0,NEUTRAL
3,"CBT CORN SPREADS","",0,NEUTRAL
4,"TEXAS PANHANDLEW OKLA FEEDLOT ROUNDUP USDA","",0,NEUTRAL
5,"MIDWEST GRAIN FUTURES 1100 EDT","",0,NEUTRAL
6,"VOLCKER PUSHES SPENDING CUTS OVER TRADE BILL","",0,NEUTRAL
7,"MIDWEST GRAIN FUTURES 1101 EDT","",0,NEUTRAL
8,"CBT SOYBEAN SPREADS","",0,NEUTRAL
9,"SIOUX FALLS CATTLE UP 050 DLR USDA","falls,",-1,NEGATIVE
10,"CBT SOYBEAN OIL SPREADS","",0,NEUTRAL
11,"FLASH SIOUX FALLS HOGS UP 175 DLR USDA","falls, hogs,",-2,NEGATIVE
12,"CBT SOYBEAN MEAL SPREADS","",0,NEUTRAL
13,"AMERICAN SPORTS ADVISORS PIKS TO LIQUIDATE","",0,NEUTRAL
14,"NY COFFEE FUTURES SLIGHTLY HIGHER THIN EARLY","",0,NEUTRAL
15,"THATCHER FIRM AS PRESSURE MOUNTS FOR ELECTIONS","",0,NEUTRAL
16,"PORTUGUESE AIRLINE CONFIRMS AIRBUS A310 ORDER","",0,NEUTRAL
17,"FLASH ST PAUL HOGS UP 100200 DLRS USDA","hogs,",-1,NEGATIVE
18,"VOLCKER SAYS RESTRICTIVE MONETARY POLICY WOULD HURT INVESTMENT","restrictive, hurt,",-2,NEGATIVE
19,"WORLD SUGAR FUTURES TUMBLE IN EARLY TRADING","tumble,",-1,NEGATIVE
20,"GOLD AND SILVER CLOSE OFF HIGHS IN ZURICH","gold,",1,POSITIVE
21,"SWEDENS ERICSSON WINS US ORDER","wins,",1,POSITIVE
22,"FLASH OMAHA HOGS UP 100 DLR USDA","hogs,",-1,NEGATIVE
23,"CBT WHEAT FUTURES OPEN FIRMER SET NEW HIGHS","firmer,",1,POSITIVE
24,"DOLLAR CLOSES LITTLE CHANGED IN FRANKFURT","",0,NEUTRAL
25,"LIVE HOG FUTURES HIGHER EARLY","",0,NEUTRAL
26,"MIDWEST GRAIN FUTURES 1110 EDT","",0,NEUTRAL
